freq,age,unit,sex,geo,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
A,Y15-74,PC_ACT,T,AT,5.7,6.0,6.1,6.5,5.9,5.2,4.8,6.0,6.2,4.8,5.1,5.2
A,Y15-74,PC_ACT,T,BA,,,,,,,,,17.4,15.4,13.2,12.6
A,Y15-74,PC_ACT,T,BE,8.6,8.7,8.7,7.9,7.2,6.0,5.5,5.8,6.3,5.6,5.5,5.7
A,Y15-74,PC_ACT,T,BG,13.9,12.4,10.1,8.6,7.2,6.2,5.2,6.1,5.2,4.2,4.3,4.2
A,Y15-74,PC_ACT,T,CH,4.8,4.9,4.8,5.0,4.8,4.7,4.4,4.8,5.1,4.1,4.1,4.4
A,Y15-74,PC_ACT,T,CY,15.9,16.1,15.0,13.0,11.1,8.4,7.2,7.6,7.2,6.3,5.8,4.9
A,Y15-74,PC_ACT,T,CZ,7.0,6.1,5.1,4.0,2.9,2.2,2.0,2.6,2.8,2.2,2.6,2.6
A,Y15-74,PC_ACT,T,DE,4.9,4.7,4.4,3.9,3.5,3.2,2.9,3.6,3.6,3.1,3.1,3.4
A,Y15-74,PC_ACT,T,DK,7.4,6.9,6.3,6.0,5.8,5.1,5.0,5.6,5.1,4.5,5.1,6.2
A,Y15-74,PC_ACT,T,EA20,12.2,11.7,11.0,10.1,9.1,8.2,7.6,8.0,7.8,6.8,6.6,6.4
A,Y15-74,PC_ACT,T,EE,8.6,7.3,6.4,6.8,5.8,5.4,4.5,6.9,6.2,5.6,6.4,7.6
A,Y15-74,PC_ACT,T,EL,27.8,26.6,25.0,23.9,21.8,19.7,17.9,17.6,14.7,12.5,11.1,10.1
A,Y15-74,PC_ACT,T,ES,26.1,24.5,22.1,19.6,17.2,15.3,14.1,15.5,14.9,13.0,12.2,11.4
A,Y15-74,PC_ACT,T,EU27_2020,11.6,11.0,10.2,9.3,8.3,7.4,6.8,7.2,7.1,6.2,6.1,5.9
A,Y15-74,PC_ACT,T,FI,8.3,8.7,9.4,8.9,8.7,7.5,6.8,7.7,7.7,6.8,7.2,8.4
A,Y15-74,PC_ACT,T,FR,10.3,10.3,10.3,10.1,9.4,9.0,8.4,8.0,7.9,7.3,7.3,7.4
A,Y15-74,PC_ACT,T,HR,17.3,17.3,16.2,13.0,11.1,8.3,6.6,7.4,7.5,6.8,6.1,5.0
A,Y15-74,PC_ACT,T,HU,9.8,7.5,6.6,5.0,4.0,3.6,3.3,4.1,4.0,3.6,4.1,4.5
A,Y15-74,PC_ACT,T,IE,13.8,11.9,9.9,8.4,6.7,5.8,5.0,5.9,6.2,4.5,4.3,4.3
A,Y15-74,PC_ACT,T,IS,5.4,4.9,4.0,3.0,2.7,2.7,3.5,5.5,6.1,3.8,3.5,3.6
A,Y15-74,PC_ACT,T,IT,12.4,12.9,12.0,11.7,11.3,10.6,9.9,9.3,9.5,8.1,7.7,6.5
A,Y15-74,PC_ACT,T,LT,11.8,10.7,9.1,7.9,7.1,6.2,6.3,8.5,7.1,6.0,6.9,7.1
A,Y15-74,PC_ACT,T,LU,5.9,5.9,6.7,6.3,5.5,5.6,5.6,6.8,5.3,4.6,5.2,6.4
A,Y15-74,PC_ACT,T,LV,11.9,10.9,9.9,9.7,8.7,7.4,6.3,8.1,7.6,6.9,6.5,6.9
A,Y15-74,PC_ACT,T,ME,19.5,18.0,17.6,17.8,16.1,15.2,15.2,17.9,,,,
A,Y15-74,PC_ACT,T,MK,29.0,28.0,26.1,23.7,22.4,20.8,17.3,16.4,,,,
A,Y15-74,PC_ACT,T,MT,6.1,5.7,5.4,4.7,4.0,4.0,4.1,4.9,3.8,3.5,3.5,3.1
A,Y15-74,PC_ACT,T,NL,8.2,8.4,7.9,7.0,5.9,4.9,4.4,4.9,4.2,3.5,3.6,3.7
A,Y15-74,PC_ACT,T,NO,3.9,3.8,4.7,4.9,4.4,4.0,3.9,4.7,4.4,3.2,3.6,4.0
A,Y15-74,PC_ACT,T,PL,10.6,9.2,7.7,6.3,5.0,3.9,3.3,3.2,3.4,2.9,2.8,2.9
A,Y15-74,PC_ACT,T,PT,17.2,14.6,13.0,11.5,9.2,7.2,6.6,7.1,6.7,6.2,6.5,6.5
A,Y15-74,PC_ACT,T,RO,9.0,8.6,8.4,7.2,6.1,5.3,4.9,6.1,5.6,5.6,5.6,5.4
A,Y15-74,PC_ACT,T,RS,24.2,20.7,19.0,16.5,14.6,13.8,11.3,9.8,11.2,9.6,9.5,8.6
A,Y15-74,PC_ACT,T,SE,8.1,8.0,7.5,7.1,6.8,6.5,6.9,8.5,8.9,7.5,7.7,8.4
A,Y15-74,PC_ACT,T,SI,10.1,9.7,9.0,8.0,6.6,5.1,4.4,5.0,4.8,4.0,3.7,3.7
A,Y15-74,PC_ACT,T,SK,14.1,13.1,11.5,9.6,8.1,6.5,5.7,6.7,6.8,6.1,5.8,5.3
A,Y15-74,PC_ACT,T,TR,8.8,9.9,10.3,10.9,10.9,10.9,13.7,13.2,12.0,10.5,9.4,8.8
A,Y15-74,PC_POP,T,AT,3.8,4.0,4.1,4.4,4.0,3.6,3.3,4.1,4.2,3.3,3.5,3.6
A,Y15-74,PC_POP,T,BA,,,,,,,,,9.0,7.9,6.8,6.7
A,Y15-74,PC_POP,T,BE,5.1,5.2,5.2,4.7,4.3,3.6,3.3,3.4,3.8,3.4,3.4,3.5
A,Y15-74,PC_POP,T,BG,8.3,7.4,6.1,5.1,4.4,3.8,3.3,3.7,3.2,2.6,2.7,2.6
A,Y15-74,PC_POP,T,CH,3.5,3.6,3.6,3.7,3.7,3.6,3.4,3.7,3.8,3.1,3.1,3.3
A,Y15-74,PC_POP,T,CY,10.7,11.0,10.0,8.6,7.4,5.7,4.9,5.2,5.0,4.5,4.2,3.5
A,Y15-74,PC_POP,T,CZ,4.5,3.9,3.3,2.6,1.9,1.5,1.3,1.7,1.9,1.5,1.7,1.8
A,Y15-74,PC_POP,T,DE,3.3,3.2,2.9,2.6,2.4,2.2,2.0,2.5,2.5,2.2,2.2,2.4
A,Y15-74,PC_POP,T,DK,5.0,4.7,4.2,4.1,4.0,3.5,3.5,3.9,3.6,3.2,3.7,4.6
A,Y15-74,PC_POP,T,EA20,7.7,7.5,7.0,6.5,5.9,5.3,4.9,5.0,5.0,4.4,4.3,4.2
A,Y15-74,PC_POP,T,EE,5.9,5.0,4.5,4.9,4.2,3.9,3.2,5.0,4.4,4.1,4.7,5.6
A,Y15-74,PC_POP,T,EL,16.4,15.7,14.8,14.2,13.0,11.7,10.7,10.0,8.6,7.5,6.7,6.2
A,Y15-74,PC_POP,T,ES,17.3,16.0,14.5,12.8,11.2,9.9,9.1,9.9,9.6,8.5,8.0,7.4
A,Y15-74,PC_POP,T,EU27_2020,7.3,6.9,6.4,5.9,5.3,4.7,4.4,4.6,4.5,4.0,4.0,3.9
A,Y15-74,PC_POP,T,FI,5.4,5.7,6.1,5.8,5.7,4.9,4.5,5.1,5.2,4.6,5.0,5.8
A,Y15-74,PC_POP,T,FR,6.6,6.5,6.5,6.3,5.9,5.7,5.3,5.0,4.9,4.6,4.7,4.8
A,Y15-74,PC_POP,T,HR,9.7,10.0,9.5,7.4,6.4,4.7,3.7,4.2,4.4,4.0,3.6,3.0
A,Y15-74,PC_POP,T,HU,5.8,4.5,4.1,3.1,2.6,2.3,2.1,2.7,2.6,2.4,2.8,3.1
A,Y15-74,PC_POP,T,IE,9.1,7.8,6.6,5.6,4.5,3.9,3.3,3.8,4.3,3.1,3.1,3.1
A,Y15-74,PC_POP,T,IS,4.3,4.0,3.3,2.5,2.3,2.2,2.8,4.3,4.8,3.0,2.8,2.9
A,Y15-74,PC_POP,T,IT,6.8,7.1,6.7,6.6,6.4,6.1,5.7,5.2,5.3,4.6,4.4,3.8
A,Y15-74,PC_POP,T,LT,7.6,7.1,6.1,5.3,4.8,4.3,4.4,6.0,5.0,4.2,4.8,5.1
A,Y15-74,PC_POP,T,LU,3.7,3.7,4.3,4.0,3.5,3.6,3.7,4.4,3.5,3.1,3.5,4.3
A,Y15-74,PC_POP,T,LV,7.9,7.2,6.7,6.6,6.0,5.2,4.4,5.7,5.1,4.7,4.5,4.8
A,Y15-74,PC_POP,T,ME,10.4,10.1,10.1,10.3,9.4,9.1,9.3,10.2,,,,
A,Y15-74,PC_POP,T,MK,17.1,16.6,15.3,13.8,13.1,12.2,10.2,9.6,,,,
A,Y15-74,PC_POP,T,MT,3.6,3.4,3.2,2.9,2.5,2.5,2.7,3.2,2.5,2.4,2.5,2.3
A,Y15-74,PC_POP,T,NL,6.0,6.1,5.7,5.1,4.2,3.6,3.3,3.6,3.1,2.6,2.7,2.8
A,Y15-74,PC_POP,T,NO,2.8,2.7,3.4,3.5,3.1,2.8,2.8,3.4,3.2,2.4,2.6,2.9
A,Y15-74,PC_POP,T,PL,6.3,5.5,4.6,3.8,3.0,2.4,2.0,1.9,2.1,1.8,1.8,1.8
A,Y15-74,PC_POP,T,PT,10.8,9.2,8.2,7.3,5.9,4.7,4.3,4.5,4.4,4.1,4.4,4.4
A,Y15-74,PC_POP,T,RO,4.7,4.5,4.5,3.8,3.3,2.9,2.7,3.4,3.2,3.2,3.2,3.1
A,Y15-74,PC_POP,T,RS,13.4,11.6,10.6,9.5,8.5,8.1,6.6,5.7,6.6,5.7,5.8,5.4
A,Y15-74,PC_POP,T,SE,5.8,5.8,5.4,5.1,4.9,4.7,5.0,6.2,6.6,5.6,5.8,6.3
A,Y15-74,PC_POP,T,SI,6.3,6.1,5.7,5.0,4.2,3.3,2.9,3.2,3.1,2.6,2.4,2.4
A,Y15-74,PC_POP,T,SK,9.2,8.5,7.5,6.4,5.4,4.3,3.8,4.4,4.5,4.1,3.9,3.6
A,Y15-74,PC_POP,T,TR,4.6,5.2,5.5,5.9,6.0,6.1,7.6,6.8,6.4,5.8,5.3,5.0
A,Y15-74,THS_PER,T,AT,249.0,263.0,271.0,290.0,267.0,237.0,220.0,272.0,284.0,221.0,241.0,244.0
A,Y15-74,THS_PER,T,BA,,,,,,,,,242.0,211.0,181.0,179.0
A,Y15-74,THS_PER,T,BE,423.0,430.0,430.0,395.0,357.0,305.0,278.0,291.0,324.0,294.0,294.0,306.0
A,Y15-74,THS_PER,T,BG,469.0,417.0,337.0,280.0,240.0,206.0,165.0,187.0,157.0,127.0,132.0,127.0
A,Y15-74,THS_PER,T,CH,219.0,227.0,229.0,238.0,234.0,231.0,216.0,238.0,248.0,204.0,204.0,221.0
A,Y15-74,THS_PER,T,CY,69.0,70.0,63.0,54.0,47.0,37.0,33.0,35.0,34.0,31.0,30.0,25.0
A,Y15-74,THS_PER,T,CZ,369.0,324.0,268.0,211.0,155.0,121.0,109.0,137.0,150.0,118.0,134.0,139.0
A,Y15-74,THS_PER,T,DE,2019.0,1930.0,1794.0,1630.0,1487.0,1341.0,1250.0,1512.0,1517.0,1355.0,1342.0,1490.0
A,Y15-74,THS_PER,T,DK,210.0,198.0,181.0,176.0,173.0,153.0,152.0,171.0,155.0,139.0,162.0,202.0
A,Y15-74,THS_PER,T,EA20,19611.0,18963.0,17753.0,16490.0,14943.0,13514.0,12532.0,12929.0,12780.0,11364.0,11158.0,10917.0
A,Y15-74,THS_PER,T,EE,59.0,50.0,43.0,47.0,40.0,38.0,31.0,48.0,43.0,40.0,48.0,57.0
A,Y15-74,THS_PER,T,EL,1344.0,1277.0,1198.0,1146.0,1043.0,935.0,847.0,791.0,678.0,588.0,522.0,480.0
A,Y15-74,THS_PER,T,ES,6051.0,5610.0,5056.0,4481.0,3917.0,3479.0,3248.0,3531.0,3476.0,3079.0,2937.0,2771.0
A,Y15-74,THS_PER,T,EU27_2020,24023.0,22917.0,21226.0,19407.0,17409.0,15602.0,14460.0,15135.0,14987.0,13318.0,13185.0,13049.0
A,Y15-74,THS_PER,T,FI,221.0,232.0,250.0,236.0,233.0,202.0,184.0,209.0,212.0,190.0,204.0,238.0
A,Y15-74,THS_PER,T,FR,3048.0,3042.0,3073.0,2992.0,2807.0,2701.0,2519.0,2381.0,2365.0,2234.0,2263.0,2311.0
A,Y15-74,THS_PER,T,HR,314.0,320.0,299.0,231.0,195.0,143.0,111.0,125.0,128.0,117.0,106.0,89.0
A,Y15-74,THS_PER,T,HU,440.0,343.0,308.0,234.0,192.0,169.0,158.0,196.0,193.0,174.0,201.0,220.0
A,Y15-74,THS_PER,T,IE,308.0,267.0,225.0,195.0,158.0,138.0,121.0,139.0,160.0,121.0,120.0,123.0
A,Y15-74,THS_PER,T,IS,10.0,9.0,8.0,6.0,5.0,6.0,7.0,11.0,13.0,8.0,8.0,8.0
A,Y15-74,THS_PER,T,IT,3078.0,3223.0,3009.0,2978.0,2873.0,2709.0,2540.0,2301.0,2367.0,2027.0,1947.0,1664.0
A,Y15-74,THS_PER,T,LT,172.0,158.0,134.0,116.0,103.0,90.0,92.0,126.0,105.0,90.0,106.0,112.0
A,Y15-74,THS_PER,T,LU,15.0,15.0,18.0,17.0,16.0,17.0,17.0,21.0,17.0,15.0,18.0,22.0
A,Y15-74,THS_PER,T,LV,121.0,108.0,98.0,96.0,86.0,73.0,62.0,79.0,71.0,65.0,62.0,65.0
A,Y15-74,THS_PER,T,ME,49.0,47.0,47.0,48.0,44.0,42.0,43.0,48.0,,,,
A,Y15-74,THS_PER,T,MK,277.0,269.0,249.0,225.0,214.0,199.0,166.0,156.0,,,,
A,Y15-74,THS_PER,T,MT,12.0,12.0,11.0,10.0,9.0,10.0,11.0,13.0,10.0,10.0,11.0,10.0
A,Y15-74,THS_PER,T,NL,756.0,769.0,723.0,647.0,547.0,459.0,423.0,466.0,408.0,350.0,359.0,372.0
A,Y15-74,THS_PER,T,NO,107.0,104.0,131.0,137.0,122.0,113.0,111.0,136.0,128.0,96.0,107.0,121.0
A,Y15-74,THS_PER,T,PL,1792.0,1566.0,1304.0,1063.0,843.0,659.0,567.0,552.0,599.0,511.0,502.0,512.0
A,Y15-74,THS_PER,T,PT,857.0,725.0,645.0,574.0,465.0,366.0,339.0,354.0,344.0,323.0,351.0,351.0
A,Y15-74,THS_PER,T,RO,719.0,693.0,683.0,581.0,500.0,429.0,400.0,497.0,459.0,465.0,456.0,451.0
A,Y15-74,THS_PER,T,RS,740.0,635.0,576.0,511.0,454.0,430.0,351.0,299.0,344.0,296.0,296.0,272.0
A,Y15-74,THS_PER,T,SE,414.0,414.0,391.0,371.0,363.0,349.0,377.0,466.0,493.0,421.0,440.0,480.0
A,Y15-74,THS_PER,T,SI,101.0,98.0,90.0,79.0,67.0,52.0,45.0,51.0,48.0,41.0,38.0,38.0
A,Y15-74,THS_PER,T,SK,394.0,366.0,323.0,274.0,229.0,184.0,161.0,186.0,188.0,170.0,162.0,148.0
A,Y15-74,THS_PER,T,TR,2442.0,2843.0,3035.0,3308.0,3421.0,3512.0,4445.0,4045.0,3915.0,3591.0,3274.0,3113.0
